Sentence,QorA,,,,,,,,,,,,
" While not as much text fits on a screen as on a mass, market paperback page using the font size I like, pushing the  next page  button has become second nature .",0,,,,,,,,,,,,
"The hotel was clean, the beds were comfortable and the location was great .",0,,,,,,,,,,,,
" I don't care it doesn't have a backlight ,  if I wanted that I'd read from my laptop and kill my eyes more .",0,,,,,,,,,,,,
Do open-ended flutes have brighter timbres ,1,,,,,,,,,,,,
" The voice is somewhat robotic and some street names are mispronounced, but it's all understandable, I read comments in some reviews that the voice is not loud enough, but I have no problem   .",0,,,,,,,,,,,,
Was Newton admitted into Havard College?,1,,,,,,,,,,,,
 I like the gloss screen fine .,0,,,,,,,,,,,,
What kinds of coats do wolves have ,1,,,,,,,,,,,,
" Easy to use video camera, Big screen, Fun color  .",0,,,,,,,,,,,,
" Still, if you're just looking for a cheap place to lay your head, the Holiday Inn Kensington Forum is a great location .",0,,,,,,,,,,,,
 I do find the lumbar on the driver's seat a bit uncomfortable though .,0,,,,,,,,,,,,
" I say  fortunate  because the location was perfect for my needs as a first, timer .",0,,,,,,,,,,,,
 On a positive note the location is great and the overworked staff did their best however if visiting London their are definitely better options such as the NH which is just around the corner .,0,,,,,,,,,,,,
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation  ,1,,,,,,,,,,,,
About how many people are estimated to live in Nairobi ,1,,,,,,,,,,,,
 In full screen browsing it is so much better that I would never go back .,0,,,,,,,,,,,,
Did Romania declare neutrality during World War I ,1,,,,,,,,,,,,
Can an elephant kill a rhinoceros ,1,,,,,,,,,,,,
Were ancient mallets made of copper?,1,,,,,,,,,,,,
Does Theodore Roosevelt have a brother ,1,,,,,,,,,,,,
"Room ,  clean, good size, everything you need is in the room including the coolerLocation ,  within every attractions, short walk or you can take the double decker just across the street .",0,,,,,,,,,,,,
Why is Arabic related to Islam ,1,,,,,,,,,,,,
What is the population of the city of Antwerp ,1,,,,,,,,,,,,
"When using Internet explorer or Firefox, press F11 and the screen will enlarge, giving you some additional freedom and space .",0,,,,,,,,,,,,
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain ,1,,,,,,,,,,,,
" Long battery life, sharp looking machine, fingerprint magnet,glossy screen=glare,ease of use and portability .",0,,,,,,,,,,,,
Nice hotel with great location .,0,,,,,,,,,,,,
 My only complaint would be that I would like to have a family pack available in the Windows Professional flavor or at least the option to purchase some of the professional features separately .,0,,,,,,,,,,,,
Great service and perfect location !,0,,,,,,,,,,,,
When were the colonial buildings in Kuala Lumpur constructed ,1,,,,,,,,,,,,
" My mileage averages 25, but it easily gets 30 or over on the highway .",0,,,,,,,,,,,,
 It is quick and responsive and reading from the default font is easy .,0,,,,,,,,,,,,
How many species of African elephants have been proposed ,1,,,,,,,,,,,,
One of the things that I found difficult to get used to is the size of the screen .,0,,,,,,,,,,,,
"5 PASS ,  Screen is bright and large enough .",0,,,,,,,,,,,,
"Location is great, 5 mins walk to the Natural History Museum, 15 to Kensington High St and 2 mins to the tube and in a high room you can see for miles   .",0,,,,,,,,,,,,
How can a flute's volume be increased ,1,,,,,,,,,,,,
" Even otherwise, no matter if it's going to cost you a bit more, I'd still recommend it, considering its location and overall standards .",0,,,,,,,,,,,,
What is the national language in Malaysia ,1,,,,,,,,,,,,
Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy  ,1,,,,,,,,,,,,
Did the Empire have little success?,1,,,,,,,,,,,,
Give an example of the largest two-year community colleges in the country. ,1,,,,,,,,,,,,
Do most Japanese people employ politeness?,1,,,,,,,,,,,,
"The location of the hotel was brilliant ,  really nice area .",0,,,,,,,,,,,,
Is the population of wild Giant  Pandas growing ,1,,,,,,,,,,,,
 It is also very easy on the eyes .,0,,,,,,,,,,,,
Does Exposure to air cause the larva to begin breathing ,1,,,,,,,,,,,,
Are there at least two films describing Tesla 's life  ,1,,,,,,,,,,,,
Does Liechtenstein have an army ,1,,,,,,,,,,,,
"The voice prompts  are mostly clear, sometimes quirky and the volume levels adequate .",0,,,,,,,,,,,,
 the unit takes you on weird routes and people don't like the TTS voice .,0,,,,,,,,,,,,
"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs  ",1,,,,,,,,,,,,
" Seemed like the perfect thing for an ex, avid reader, since you can change font size, have it read to you, download newspapers and magazines, and you don't have to drive to the book store or library !",0,,,,,,,,,,,,
"Pronouns in which location are marked for person , number and gender?",1,,,,,,,,,,,,
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB- ",1,,,,,,,,,,,,
" Perhaps my expectations were low, since Microsoft OSes tend usually to be just functional   without much pizazz or many  power user  shortcuts and features, but Windows 7 really is a well, crafted OS .",0,,,,,,,,,,,,
Where was Woodrow Wilson born?,1,,,,,,,,,,,,
What is someone who makes violins called?,1,,,,,,,,,,,,
Why did Lincoln issue the Emancipation Proclamation ,1,,,,,,,,,,,,
When did concert flutes begin appearing in concert ensembles ,1,,,,,,,,,,,,
When did John Adams serve as Vice President ,1,,,,,,,,,,,,
"The Holiday Inn Kensington Forum benefits from a fantastic location, right next to Gloucester Road Tube   or to Paddington Station for the Heathrow Express .",0,,,,,,,,,,,,
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year ",1,,,,,,,,,,,,
When did Isaac Newton discover the generalized binomial theorem ,1,,,,,,,,,,,,
" However, the way it is designed, it is clumsy to hold while recording a video .",0,,,,,,,,,,,,
Did James Monroe attend the College of William and Mary ,1,,,,,,,,,,,,
Are countries without in red?,1,,,,,,,,,,,,
How many arms does an octopus have ,1,,,,,,,,,,,,
Was Avogadro a  professor at the University of Turin ,1,,,,,,,,,,,,
" Because others on this site have already described in sufficient detail all the amazing features of W7, I will not repeat them .",0,,,,,,,,,,,,
 It seems that the female voices do not distort quite as much as the male voices .,0,,,,,,,,,,,,
" The front seats are extremely uncomfortable after anything more than 15 minutes of driving due to what I see as a design flaw, the seat curvature is too great, and even with the lumbar support all the way retracted, it still feels like there is some type of bar sticking out in the wrong part of my back   .",0,,,,,,,,,,,,
"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani  ",1,,,,,,,,,,,,
What did Jefferson call John Adams ,1,,,,,,,,,,,,
The screen resolution isn't the highest you can get but I found that the higher resolution netbooks usually had older prcessors for some reason .,0,,,,,,,,,,,,
"Why does Lewis use ""absolute case"" instead of ""nominative"" ",1,,,,,,,,,,,,
What is the total number of Chinese words ,1,,,,,,,,,,,,
Excellent location shame about the service !,0,,,,,,,,,,,,
What are the two main varieties of Indian flutes ,1,,,,,,,,,,,,
Where was there a vast swarm of butterflies ,1,,,,,,,,,,,,
What happened in 1860 ,1,,,,,,,,,,,,
its really good up to apples usual standard sound quality and video quality is brillant and is ideal for anyone !,0,,,,,,,,,,,,
" Perfect location, right around the corner from the tube .",0,,,,,,,,,,,,
"Our 12 year old loves the IPod ,  especially the video camera feature .",0,,,,,,,,,,,,
Was Vietnamese formally written using the Chinese writing system ,1,,,,,,,,,,,,
"According to Reader's Digest, is Finland best for living ",1,,,,,,,,,,,,
" It boots up quickly, especially after getting rid of the extra asus software that auto, boots at startup, its battery life is phenomenal, the screen is clear and easy to read, the keyboard is comfortable to type on and feels natural .",0,,,,,,,,,,,,
Is Taipei in a valley ,1,,,,,,,,,,,,
" Also, the close location of the gloucester road tube stop is great for getting around all of london .",0,,,,,,,,,,,,
He became chief engineer in the Department of Bridges and Highways in what year ,1,,,,,,,,,,,,
 I ate their last night and the food and service were top noch .,0,,,,,,,,,,,,
Is the left-most pedal on a grand piano called the una corda ,1,,,,,,,,,,,,
"Are Male otters dog-otters , females are bitches and babies are cubs or pups  ",1,,,,,,,,,,,,
" Other than the Magellan's screen being an inch smaller ,  but really noticeable ,  the Magellan did not have text to voice, and often would take a much longer route even though we told it to take freeways .",0,,,,,,,,,,,,
 One of the best features of this hotel is the LOCATION .,0,,,,,,,,,,,,
  My daughter thinks that the video clarity is amazing and finds the built in speakers awesome .,0,,,,,,,,,,,,
 All features worked excellently for me so far especially appreciate the touchpad lock button  as well as the screen off function key .,0,,,,,,,,,,,,
" Location of hotel is great, next to Gloucester Road tube, close to museums, short hike to Buckingham Palace etc .",0,,,,,,,,,,,,
"Will , the vowel sounds be pronounced separately) ?",1,,,,,,,,,,,,
 I'm happy with the screen and resolution choices available .,0,,,,,,,,,,,,
" Great location ,  a couple of minutes walk from Gloucester Rd underground station, and shops, restaurants, internet cafe etc",0,,,,,,,,,,,,
",  New features with better window and file managment",0,,,,,,,,,,,,
 The video camera is crystal clear and the memory space is more than ideal for all your needs .,0,,,,,,,,,,,,
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages ,1,,,,,,,,,,,,
 While the Accord is no Acura it is a close relative in terms of quality and comfort .,0,,,,,,,,,,,,
Why is Antwerp important to fashion ,1,,,,,,,,,,,,
" Instead I convert DVDs to DVIX AVI files using Fair Use Wizard and load them on to memory slot card and they play great, 700mb files look fine on this size of screen .",0,,,,,,,,,,,,
What was given by Aristotle for the hardened shield like forewings ,1,,,,,,,,,,,,
Who spend half of their life on land and half in the oceans ,1,,,,,,,,,,,,
What areas can giraffes inhabit?,1,,,,,,,,,,,,
Was James Watt a member of the Lunar Society ,1,,,,,,,,,,,,
Is the foot pedal framework for a piano called a lyre ,1,,,,,,,,,,,,
How much do sea otters weigh ,1,,,,,,,,,,,,
What is the highest mountain in Romania ,1,,,,,,,,,,,,
" Not having your eyeballs scorched, seared and scarred by the traditional computer screen is really nice .",0,,,,,,,,,,,,
Did Coolidge graduate from Black River Academy ,1,,,,,,,,,,,,
The screen is clear and the instructions are good though again if you have a lot of exits or turns all in the same spot you have to be careful to just listen to the voice and watch the road or you can miss the turn .,0,,,,,,,,,,,,
What does a citizen use to propose changes to the Constitution?,1,,,,,,,,,,,,
When did classical Chinese literature begin ,1,,,,,,,,,,,,
Are xylophone bars made of rosewood?,1,,,,,,,,,,,,
 The cover and screen are glossy and it has a 92% keyboard which is plenty comfortable .,0,,,,,,,,,,,,
Sea otters eat what ,1,,,,,,,,,,,,
Japanese borrowed a considerable number of what?,1,,,,,,,,,,,,
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer ",1,,,,,,,,,,,,
" Gas mileage is disappointing, 21 in town .",0,,,,,,,,,,,,
" W7 is fast and resource friendly, every hardware device works perfect  , and there's a ton of great features .",0,,,,,,,,,,,,
 Could be better and don't use the highest resolution unless you want all of your stuff to have the wrong aspect ration on the screen It flattens it to make more visible .,0,,,,,,,,,,,,
How old is the oldest known representation of a guitar-like intrument being played ,1,,,,,,,,,,,,
Is French language of Wallonia?,1,,,,,,,,,,,,
What are four species that are commonly referred to as kangaroos ,1,,,,,,,,,,,,
 The video recording feature is the best part .,0,,,,,,,,,,,,
How did the supporters of Henry Clay feel about Fillmore in 1848 ,1,,,,,,,,,,,,
Who did Newton see as the master creator?,1,,,,,,,,,,,,
 Traded my Highlander for it for better mileage w  gas prices so high .,0,,,,,,,,,,,,
 Purchased this machine to enjoy the convenience of Windows and the larger screen .,0,,,,,,,,,,,,
"We enjoyed our trip to London ,  and the location for the Holiday Inn Kensington Forum was terrific .",0,,,,,,,,,,,,
 I don't even see the bios screen on startup .,0,,,,,,,,,,,,
" Decent speed processor, nice screen quality, great asus softwares  , and very long battery life .",0,,,,,,,,,,,,
Are concert xylophonese typically 3 1/2 or 4 octaves ,1,,,,,,,,,,,,
What is the world population of Asian elephants ,1,,,,,,,,,,,,
"I like being able to select different voices, however when I am using Daniel with the English accent, he seems to be clearing his throat at the end of his directions .",0,,,,,,,,,,,,
" It's small and lightweight, it looks amazing, the video quality is way better than I ever imagined it would be, and the screen is huge .",0,,,,,,,,,,,,
 truly fantastic gas mileage .,0,,,,,,,,,,,,
What are the three dialect regions of Vietnamese ,1,,,,,,,,,,,,
" features, look and feel, video  .",0,,,,,,,,,,,,
Give an example of the best known symphony orchestras in the world under the leadership of conductors Yevgeny Mravinsky and Yuri Temirkanov. ,1,,,,,,,,,,,,
What is Antwerp ,1,,,,,,,,,,,,
What do people commonly call cleptoparasitic bees?,1,,,,,,,,,,,,
" light weight, radio, video camera  .",0,,,,,,,,,,,,
Can turtles spend all their time underwater?,1,,,,,,,,,,,,
" The touchpad works well, the screen glossy, ness really doesn't bother me, and it's not too bad of a fingerprint magnet .",0,,,,,,,,,,,,
What airports does Kuala Lumpur have ,1,,,,,,,,,,,,
 Test drove Honda and enjoyed the firm yet very comfortable ride .,0,,,,,,,,,,,,
On what continent have dragonflies often been seen as sinister ,1,,,,,,,,,,,,
Where did Nikola Tesla move to in 1880 ,1,,,,,,,,,,,,
What book defined the official Finnish language ,1,,,,,,,,,,,,
What is the life expectancy for men in Finland ,1,,,,,,,,,,,,
 Sometimes the blue screen of death appears for no discernible reason .,0,,,,,,,,,,,,
" But the presentation was awesome and the food was so good and not having to walk in the dark at night and scare my mother or pay for a taxi or bus, but sit around and eat comfortably in my pajamas was well worth the cost to me .",0,,,,,,,,,,,,
"In Old French, was the plural  for animal animals?",1,,,,,,,,,,,,
&#20415;&#24403;/&#20415;&#30070; “lunchbox or boxed lunch” (from bento) and &#26009;&#29702; “prepared cuisine” are loan words from which language ,1,,,,,,,,,,,,
Grant was elected president as a Republican in what year?,1,,,,,,,,,,,,
" The videos you record do not show up on iTunes though, you have to go to My Computer and find the ipod drive, then open the folder named DCIM, and the video files are in  .",0,,,,,,,,,,,,
Did Henri Becquerel live to be 80 years old?,1,,,,,,,,,,,,
 Audio and video recording are a step above the competition .,0,,,,,,,,,,,,
Where was Grover Cleveland married ,1,,,,,,,,,,,,
Are turtles being examined for longevity genes?,1,,,,,,,,,,,,
Who was made to travel outside the coach?,1,,,,,,,,,,,,
What countries border Liechtenstein ,1,,,,,,,,,,,,
" However, long, distance comfort  is poor due to hard, narrow and deeply, bucketed seats combined with a very taut suspension which transmits even minor road imperfections through the whole vehicle .",0,,,,,,,,,,,,
 I don't know what the other reviewers are talking about as far as the screen brightness goes because my screen is far too bright at the higher end of the spectrum .,0,,,,,,,,,,,,
What prompted the city to upgrade its building codes,1,,,,,,,,,,,,
Is it true that his passion been always the study of electricity?,1,,,,,,,,,,,,
Was Coolidge more outspoken ,1,,,,,,,,,,,,
What did James Monroe do before being elected governor ,1,,,,,,,,,,,,
" Convenient to Gloucester Road tube station, , location could not have been better .",0,,,,,,,,,,,,
Our main focus before booking was looking for a low price with good location .,0,,,,,,,,,,,,
" The 1024x600 screen can be set, if you wish, so that it is a 1024x600 viewport to a larger 1024x768 desktop, reachable by moving the mouse to the screen edge .",0,,,,,,,,,,,,
"I.e ""yamato words "") , which in scholarly contexts is sometimes referred to as ( or rarely , i.e ""yamato words "" -rrb- , which in scholarly contexts is sometimes referred to as -lrb- or rarely , vp ? ?",1,,,,,,,,,,,,
What sort of turtles are ectothermic?,1,,,,,,,,,,,,
 The location could not be better and best of all it was so clean .,0,,,,,,,,,,,,
 Great location close to Gloucester Road tube stop .,0,,,,,,,,,,,,
What is Helsinki ,1,,,,,,,,,,,,
Is or a conception that forms the counterpart of dialect?,1,,,,,,,,,,,,
 The screen is clear and easily viewed in indoor environments .,0,,,,,,,,,,,,
What was Swahili language`s profession?,1,,,,,,,,,,,,
An otter 's den is what ,1,,,,,,,,,,,,
" Love the looks, power, roomy interior, good mileage at 32 hwy and 25 city .",0,,,,,,,,,,,,
Is Swahili a Bantu language ,1,,,,,,,,,,,,
 The convenient location and competitive rates finally sold us on a repeat visit .,0,,,,,,,,,,,,
Was Old Chinese wholly uninflected?,1,,,,,,,,,,,,
" Gas mileage is poor, 25 mpg .",0,,,,,,,,,,,,
Does Romania share the same language with Moldova ,1,,,,,,,,,,,,
Over how many languages are spoken in London?,1,,,,,,,,,,,,
 Everyone loves the way it rides and we took it to the lake   without a single complaint of comfort .,0,,,,,,,,,,,,
When did Goh Chok Tong succeed Lee as Prime Minister ,1,,,,,,,,,,,,
Great location for first time traveller .,0,,,,,,,,,,,,
The hotel is very nice and the location is excellent .,0,,,,,,,,,,,,
What is Monroe's father's name ,1,,,,,,,,,,,,
Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide  ,1,,,,,,,,,,,,
Where is Qatar's telecommunication system centered ,1,,,,,,,,,,,,
"One hint ,  there's a setting that lets you  compress  the screen which makes everything smaller and allows you to fit more on the screen .",0,,,,,,,,,,,,
 You can read all the new features in your Windows 7 short version handbook .,0,,,,,,,,,,,,
 The 10 inch screen started getting to me on the Asus 1005 .,0,,,,,,,,,,,,
"Nice clean rooms, good value, and average location near a tube station, but the rooms directing towards the main street outside are all VERY noisy .",0,,,,,,,,,,,,
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer )  ,1,,,,,,,,,,,,
"What did Ford receive on April 13, 1942 ",1,,,,,,,,,,,,
when did kuala lumpur become a federal territory of malaysia ,1,,,,,,,,,,,,
Was Faraday a devout Christian?,1,,,,,,,,,,,,
" In short, the location of the hotel made travel around London and getting to train stations to go out of London incredibly easy .",0,,,,,,,,,,,,
"When Becquerel discovered radioactivity, whose work did he investigate ",1,,,,,,,,,,,,
How did vespoid wasps evolve?,1,,,,,,,,,,,,
" Two other things that make this a superior computer are battery life, and the LED backlighting for the screen .",0,,,,,,,,,,,,
Is the leopard of the Felidae family ,1,,,,,,,,,,,,
" very good location, next to underground station, very near to city center .",0,,,,,,,,,,,,
Who represented the Continental Congress in Europe ,1,,,,,,,,,,,,
"Was Wilson , a staunch opponent of antisemitism , sympathetic to the plight of Jews , especially in Poland and in France ?",1,,,,,,,,,,,,
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time  ",1,,,,,,,,,,,,
How many siblings did Faraday have ,1,,,,,,,,,,,,
" Nothing  What will Apple think of next for their Nano, the video camara records awesome video even in dim lighting .",0,,,,,,,,,,,,
A fine hotel and great location .,0,,,,,,,,,,,,
Did he not die at the age of 55 in Le Croisic  ,1,,,,,,,,,,,,
Is stress distinctive in most Romance languages?,1,,,,,,,,,,,,
"If Henri Becquerel was alive today, how old would he have been?",1,,,,,,,,,,,,
What is Anders Celsius`s last name?,1,,,,,,,,,,,,
This was my second stay at this location in the past one year .,0,,,,,,,,,,,,
" It looks nicer than my other one, love the video and everything else this one can do",0,,,,,,,,,,,,
Are the several dialects of Kagoshima famous to speakers?,1,,,,,,,,,,,,
   I am disappointed with the gas mileage .,0,,,,,,,,,,,,
When was a three-holed flute made from a mammoth tusk discovered?,1,,,,,,,,,,,,
" It has a comfortable ride and most controls are logical, but the location of the volume knobs takes some getting used to .",0,,,,,,,,,,,,
What was the Dead or Alive 4 fighting arena modeled after?,1,,,,,,,,,,,,
" Although it's a lower trim level, it has high quality interior trim  very comfortable seats  and and very smooth, quiet ride .",0,,,,,,,,,,,,
Is it true that Italian retained the contrast between short consonants?,1,,,,,,,,,,,,
 Mother was very pleased with the location and convenience .,0,,,,,,,,,,,,
Why did Roosevelt start Boxing lessons ,1,,,,,,,,,,,,
Is it the world 's largest archipelagic state ,1,,,,,,,,,,,,
What do with greenpeace and the natural resources defense council have in common ,1,,,,,,,,,,,,
How many years ago was the Lima Stock Exchange the most profitable in the world?,1,,,,,,,,,,,,
 Wish it delivered the gas mileage of my 2003 XLE .,0,,,,,,,,,,,,
Was Santiago the name of an indie/punk band?,1,,,,,,,,,,,,
"For this extra amount, I was looking for the larger screen, the longer battery life and the keyboard ergonomics .",0,,,,,,,,,,,,
What is Swahili language`s first name?,1,,,,,,,,,,,,
What is an example of something an octopus learned in a research experiment ,1,,,,,,,,,,,,
What may be called Volta's Law of the electrochemical series ,1,,,,,,,,,,,,
" like others have said, it is definitely a fingerprint magnet, and the glossy screen can be a bit of a problem in some lighting conditions .",0,,,,,,,,,,,,
What are vehicles that frequent isolated roads often fitted with ,1,,,,,,,,,,,,
When did Lincoln first serve as President ,1,,,,,,,,,,,,
Was Calvin Coolidge Republican ,1,,,,,,,,,,,,
Which defense mechanism uses colour or shape to deceive potential enemies ,1,,,,,,,,,,,,
The only minor issue that I have with 1005HA is that it does not allow the screen to rotate further .,0,,,,,,,,,,,,
"Did European and other : 0.2 % Religions : Christian 63 % , African beliefs 21 % , Muslim 16 % , Facts on People of Ghana , not access July 13 , 2006 More than 100 languages and dialects are spoken in Ghana  ",1,,,,,,,,,,,,
" Awesome features fm radio, video camara, pedometer and more  .",0,,,,,,,,,,,,
Was Michael Faraday an English chemist?,1,,,,,,,,,,,,
Is Liechtenstein heavily urbanized ,1,,,,,,,,,,,,
Was Volta taught in public schools ,1,,,,,,,,,,,,
" It's also easy to make the font larger whenever necessary, like when my eyes are tired .",0,,,,,,,,,,,,
" new look, shape and video cam feature  .",0,,,,,,,,,,,,
Do pandas hibernate ,1,,,,,,,,,,,,
" Searching for books and downloading them is fast and easy, the screen is very easy on the eyes .",0,,,,,,,,,,,,
What do all turtles and tortoises breathe?,1,,,,,,,,,,,,
" Again, the screen is too small for this to be anything more than just satisfying from a purchase standpoint .",0,,,,,,,,,,,,
Great location clean and quiet .,0,,,,,,,,,,,,
Is the battery made by Volta credited as the first electrochemical cell ,1,,,,,,,,,,,,
Have managed populations of European honey bees experienced substantial declines?,1,,,,,,,,,,,,
Did the economy improve in Jakarta in 2007,1,,,,,,,,,,,,
" Some of the Asus special on screen controls, update and expand features built into the machine have not been all that useful and some border on being advertisements for buying Asus stuff .",0,,,,,,,,,,,,
"Great location, 1 min from Gloucester Tube .",0,,,,,,,,,,,,
" It's rated 4, stars, but I also stayed at an equivalently rated Marriott while in London, and a 3, star Holiday Inn Express in Scotland, and the service and rooms were much better at the other locations .",0,,,,,,,,,,,,
Are kangaroos farmed to any extent ,1,,,,,,,,,,,,
"Where does the word ""violin"" come from?",1,,,,,,,,,,,,
 I can strain to read the text but then close my eye for awhile and listen .,0,,,,,,,,,,,,
What was Canada's most important industry until the 1800s ,1,,,,,,,,,,,,
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy ",1,,,,,,,,,,,,
" The price, the space, the location and the service were the exactly right thing we wanted .",0,,,,,,,,,,,,
Is the octopus a cephalopod ,1,,,,,,,,,,,,
Was James Monroe President of the United States ,1,,,,,,,,,,,,
" only 10, inch screen, small keyboard and no CD, ROM .",0,,,,,,,,,,,,
When was Henri Becquerel born?,1,,,,,,,,,,,,
 lots of features  I got this for my son because he wanted an MP3 player and a video camera for Christmas .,0,,,,,,,,,,,,
Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants ,1,,,,,,,,,,,,
In which years were John Monroe elected as President ,1,,,,,,,,,,,,
" Most of my professors teach from Power Points, and it makes my life so much simpler having the PPT on my screen that I can annotate while listening to the lecture .",0,,,,,,,,,,,,
When did it sign on the air ,1,,,,,,,,,,,,
Has the name Pascal been given to the SI unit of pressure?,1,,,,,,,,,,,,
"How many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the Faraday effect?",1,,,,,,,,,,,,
What method of locomotion do Kangaroos Use ,1,,,,,,,,,,,,
Give dictionaries the latter as an alternative pronunciation ?,1,,,,,,,,,,,,
Who were the midnight judges ,1,,,,,,,,,,,,
Does the diet of foxes include reptiles?,1,,,,,,,,,,,,
 However the location was great with the underground and good restaurants   nearby .,0,,,,,,,,,,,,
Why does the cornet have a slightly mellower tone than the trumpet ,1,,,,,,,,,,,,
Is it true that thermometer had 100 for the freezing point ,1,,,,,,,,,,,,
What was the name of James Watt's mother?,1,,,,,,,,,,,,
Why are ducklings particularly vulnerable ,1,,,,,,,,,,,,
In what year did Watt retire ,1,,,,,,,,,,,,
"and I could have gotten a matte screen, but neither of those  features  impressed me .",0,,,,,,,,,,,,
Is the purfling just for decoration?,1,,,,,,,,,,,,
What happened from tuberculosis ,1,,,,,,,,,,,,
"Today, are there more cell phone subscriptions than people in Finland ",1,,,,,,,,,,,,
" But with screen brightness cranked up, bluetooth & wi, fi in constant use, some video playback  , and internet radio running, I'm getting a good 8",0,,,,,,,,,,,,
What is the study of beetles called ,1,,,,,,,,,,,,
" video camera, radio, great price for a 16 gig, not a fingerprint magnet, small .",0,,,,,,,,,,,,
" Anyway it may not have the charm or history of other hotels in London, but for the price location we would   visit again .",0,,,,,,,,,,,,
" The location could not be better ,  one block from the intersection of Cromwell and Gloucester Roads, with the Glouster Road tube stop .",0,,,,,,,,,,,,
" I know some people are really upset about the no backlight issue, but I'm glad because it is not as straining on my eyes as a computer screen .",0,,,,,,,,,,,,
 Great gas mileage and comfortable on long trips .,0,,,,,,,,,,,,
The hotel was good and in a great location .,0,,,,,,,,,,,,
"Was James Cook the first to record the name ""Kangooroo """,1,,,,,,,,,,,,
The small screen is probably the biggest drawback .,0,,,,,,,,,,,,
" Sound quality, video quality, easy to use, space, customizable  .",0,,,,,,,,,,,,
"How many years ago did Faraday report on the first synthesis of compound make from carbon and chlorine , c 2 h 6 and c 2 h 4 ?",1,,,,,,,,,,,,
" The location is fab ,  near the Gloucester underground station and the Waitrose grocery store .",0,,,,,,,,,,,,
" It is a relatively new hotel, clean and has a great location which is close to the underground with 3 connecting lines, it gives you an advantage to go anywhere without changing lots of trains .",0,,,,,,,,,,,,
Is each node at an integer division of the string ,1,,,,,,,,,,,,
Great location but is it really 4 star ?,0,,,,,,,,,,,,
 The location is in a good location near the tube and only a few minutes by cab to central London   .,0,,,,,,,,,,,,
" The only complaint that I have if you even want to call it that is that the text, to, speech voices sound pretty robotic .",0,,,,,,,,,,,,
Location is so convienent to the tube and grocery .,0,,,,,,,,,,,,
"Consequently, what is not considered a ""serious painter"" by some contemporary artists, who often regard his work as bourgeois and kitsch ",1,,,,,,,,,,,,
Did Suharto resign as president ,1,,,,,,,,,,,,
Do wolf pups tend to have darker fur than adults ,1,,,,,,,,,,,,
How long was Kuala Lumpur occupied by the Japanese ,1,,,,,,,,,,,,
 No big deal The car is huge and very comfortable .,0,,,,,,,,,,,,
" Not a tremendous surprise here, as we believed the sixth, generation  true video iPod  would not be announced until later in the year or even early in 2007 .",0,,,,,,,,,,,,
"  Itunes has an on, line store, where you may purchase and download music and videos which will install onto the ipod .",0,,,,,,,,,,,,
Is the bass trumpet the smallest trumpet?,1,,,,,,,,,,,,
Is there a more industrialized region in malaysia ,1,,,,,,,,,,,,
What Retrieved on May ,1,,,,,,,,,,,,
 The most noticeable difference is the screen and keyboard functionality .,0,,,,,,,,,,,,
What are some common predators of ducks ,1,,,,,,,,,,,,
Is a string first tuned to a standard pitch ,1,,,,,,,,,,,,
" Comfortable room with large bed but limited space as is often the case with London hotels, but I found the location excellent .",0,,,,,,,,,,,,
Why do kangaroos have a wide bite ,1,,,,,,,,,,,,
How did early naturalists distinguish between leopards and panthers ,1,,,,,,,,,,,,
 The battery doesn't last a long time especially when you're recording or watching a video but I just listen to music most of the time and it lasts me a good length of time doing that .,0,,,,,,,,,,,,
The Holiday Inn Kensington Forum has a fantastic location for a city break in London .,0,,,,,,,,,,,,
"0 out of 5 stars A great tool for those of us with aging eyes, February 28, 2009",0,,,,,,,,,,,,
"Has an octopus a hard beak, with its mouth at the center point of the arms ",1,,,,,,,,,,,,
 For the price and the location I thought this place was great .,0,,,,,,,,,,,,
Was Gerald Ford the 38th President of the United States ,1,,,,,,,,,,,,
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat  ,1,,,,,,,,,,,,
Is it true that he practiced law in fredericksburg ,1,,,,,,,,,,,,
Interaction with what man stirred up Newton's interest in alchemy?,1,,,,,,,,,,,,
What did Alessandro Volta invent in 1800 ,1,,,,,,,,,,,,
